"월","여행횟수","연도"
"1월",31974,"2018"
"2월",33598,"2018"
"3월",35136,"2018"
"4월",31702,"2018"
"5월",35463,"2018"
"6월",33430,"2018"
"7월",43335,"2018"
"8월",48308,"2018"
"9월",32453,"2018"
"10월",32885,"2018"
"11월",30805,"2018"
"12월",37561,"2018"
"1월",30317,"2019"
"2월",38895,"2019"
"3월",33693,"2019"
"4월",34991,"2019"
"5월",36708,"2019"
"6월",31161,"2019"
"7월",47372,"2019"
"8월",51173,"2019"
"9월",38280,"2019"
"10월",37411,"2019"
"11월",32176,"2019"
"12월",40874,"2019"
"1월",31639,"2020"
"2월",16688,"2020"
"3월",11947,"2020"
"4월",16918,"2020"
"5월",23491,"2020"
"6월",23692,"2020"
"7월",30586,"2020"
"8월",29518,"2020"
"9월",20788,"2020"
"10월",21326,"2020"
"11월",18929,"2020"
"12월",18922,"2020"
